,mean_difference,std_difference,overall_mean_difference,overall_std_difference,label_change_rate
Archetype_1,0.041091335029477455,0.17425682096292627,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_2,-0.0014843679184647534,0.09728793603610547,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_3,0.0032653301895706776,0.09766502299458896,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_4,-0.0031393248289474647,0.05411765899102851,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_5,0.0032180635292678255,0.0803555232401574,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_6,-0.009679061671022055,0.09662150825397442,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_7,-0.010047214812635727,0.06053786882671285,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_8,-0.005596483373952873,0.09389148516048773,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_9,-0.0001351982120067335,0.05218588925161322,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_10,-0.003753687621350879,0.06715319257115744,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_11,-0.0017946086946504691,0.05521800847588575,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_12,-0.004935719447043022,0.058430431662595206,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_13,-0.004585449593515135,0.06833949375686983,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_14,0.00042115489693439966,0.0639935769876608,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_15,-0.0028872069389415376,0.06062931160152684,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_16,0.0002781233652378711,0.05432330818777097,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
Archetype_17,-0.00029893917552237487,0.012836165556093031,-3.7208986802827973e-06,0.08111032490659731,0.24693866638147693
